epoch,loss,mse,val_loss,val_mse
0,0.474030077457428,0.47402986884117126,0.7367501258850098,0.7367501258850098
1,0.2658768594264984,0.2658768594264984,0.547457218170166,0.5474572777748108
2,0.24457190930843353,0.24457181990146637,0.4033406376838684,0.403340607881546
3,0.22982071340084076,0.22982075810432434,0.3001217544078827,0.3001217246055603
4,0.21399594843387604,0.21399591863155365,0.23383498191833496,0.23383499681949615
5,0.20242229104042053,0.20242230594158173,0.19926489889621735,0.19926486909389496
6,0.20127880573272705,0.20127877593040466,0.20010535418987274,0.20010539889335632
7,0.19967153668403625,0.19967156648635864,0.19124647974967957,0.19124647974967957
8,0.19367755949497223,0.193677619099617,0.1939903050661087,0.1939902901649475
9,0.19487598538398743,0.19487597048282623,0.19172140955924988,0.19172140955924988
10,0.19028347730636597,0.19028343260288239,0.19306454062461853,0.19306455552577972
11,0.1922598034143448,0.19225972890853882,0.18769583106040955,0.18769584596157074
12,0.18879976868629456,0.18879978358745575,0.18672870099544525,0.18672873079776764
13,0.19010195136070251,0.19010195136070251,0.18807263672351837,0.18807263672351837
14,0.18607540428638458,0.18607549369335175,0.1838575005531311,0.1838575005531311
15,0.1853436678647995,0.1853436827659607,0.18156418204307556,0.18156416714191437
16,0.18801115453243256,0.18801116943359375,0.18212655186653137,0.18212655186653137
17,0.18723773956298828,0.1872377097606659,0.17932456731796265,0.17932455241680145
18,0.18306609988212585,0.18306612968444824,0.18482521176338196,0.18482521176338196
19,0.18293718993663788,0.1829371154308319,0.18324938416481018,0.18324938416481018
20,0.18529853224754333,0.18529851734638214,0.18186554312705994,0.18186555802822113
21,0.18344640731811523,0.18344639241695404,0.18455693125724792,0.18455691635608673
22,0.1829509735107422,0.182950958609581,0.18211629986763,0.1821162849664688
23,0.1814119964838028,0.18141192197799683,0.18179121613502502,0.18179121613502502
24,0.1813288927078247,0.1813289076089859,0.18256346881389618,0.18256348371505737
25,0.18292351067066193,0.18292348086833954,0.18235614895820618,0.18235613405704498
